Pays,Code,Annee,Taux_emploi_agricole
Afrique subsaharienne,SSF,1991,60.2327144368708
Afrique subsaharienne,SSF,1992,60.51707706764501
Afrique subsaharienne,SSF,1993,60.58091208891493
Afrique subsaharienne,SSF,1994,60.64445020380056
Afrique subsaharienne,SSF,1995,60.60432028902988
Afrique subsaharienne,SSF,1996,60.2856502824763
Afrique subsaharienne,SSF,1997,60.172700388154006
Afrique subsaharienne,SSF,1998,60.02487868816266
Afrique subsaharienne,SSF,1999,59.89434926157245
Afrique subsaharienne,SSF,2000,59.76474855311387
Afrique subsaharienne,SSF,2001,59.66487483658085
Afrique subsaharienne,SSF,2002,59.672946065507254
Afrique subsaharienne,SSF,2003,59.523895629898774
Afrique subsaharienne,SSF,2004,59.09854747267437
Afrique subsaharienne,SSF,2005,58.784268182842816
Afrique subsaharienne,SSF,2006,58.33356345571467
Afrique subsaharienne,SSF,2007,57.84700521105363
Afrique subsaharienne,SSF,2008,57.37051371752372
Afrique subsaharienne,SSF,2009,56.91404779047438
Afrique subsaharienne,SSF,2010,56.054145620228866
Afrique subsaharienne,SSF,2011,55.49052854143146
Afrique subsaharienne,SSF,2012,54.740978017651976
Afrique subsaharienne,SSF,2013,54.41764002489378
Afrique subsaharienne,SSF,2014,53.83234075009503
Afrique subsaharienne,SSF,2015,53.29588624811688
Afrique subsaharienne,SSF,2016,53.008920126607876
Afrique subsaharienne,SSF,2017,52.37785197450942
Afrique subsaharienne,SSF,2018,51.56480364794028
Afrique subsaharienne,SSF,2019,50.65760434704212
Afrique subsaharienne,SSF,2020,52.123624044932114
Afrique subsaharienne,SSF,2021,52.021928603905955
Afrique subsaharienne,SSF,2022,50.91647659566656
Afrique subsaharienne,SSF,2023,50.58043050534941
Afrique subsaharienne,SSF,2024,49.80444236245279
Afrique subsaharienne,SSF,2025,49.32706935587794
Kenya,KEN,1991,61.2948718547656
Kenya,KEN,1992,61.4236759924137
Kenya,KEN,1993,61.4901469457677
Kenya,KEN,1994,61.3276541594862
Kenya,KEN,1995,61.0914126622584
Kenya,KEN,1996,60.7773944543691
Kenya,KEN,1997,60.7390547323274
Kenya,KEN,1998,60.5108428692924
Kenya,KEN,1999,60.398770818959
Kenya,KEN,2000,60.3829475943653
Kenya,KEN,2001,59.8806071008346
Kenya,KEN,2002,59.6533370603118
Kenya,KEN,2003,59.2917162608934
Kenya,KEN,2004,58.7525949327893
Kenya,KEN,2005,58.112060585581
Kenya,KEN,2006,57.4187025425707
Kenya,KEN,2007,56.6913178250642
Kenya,KEN,2008,56.5938741513426
Kenya,KEN,2009,56.3777817951041
Kenya,KEN,2010,55.6418954408442
Kenya,KEN,2011,55.1347071055523
Kenya,KEN,2012,54.4794911025406
Kenya,KEN,2013,53.8949569687129
Kenya,KEN,2014,53.1394976084014
Kenya,KEN,2015,52.5056917704688
Kenya,KEN,2016,51.8686819490656
Kenya,KEN,2017,51.2925547917114
Kenya,KEN,2018,50.3952893581909
Kenya,KEN,2019,49.7343373997981
Kenya,KEN,2020,51.2114910190421
Kenya,KEN,2021,51.2354676158147
Kenya,KEN,2022,47.8270916176174
Kenya,KEN,2023,47.1556460778454
Kenya,KEN,2024,46.5026257021267
Kenya,KEN,2025,45.7884267176803
Madagascar,MDG,1991,78.4567507934065
Madagascar,MDG,1992,78.5146130174147
Madagascar,MDG,1993,78.5780223366783
Madagascar,MDG,1994,78.8050844298406
Madagascar,MDG,1995,78.7665437055324
Madagascar,MDG,1996,78.8175079212017
Madagascar,MDG,1997,78.768798598489
Madagascar,MDG,1998,78.7595041351223
Madagascar,MDG,1999,78.7602003536033
Madagascar,MDG,2000,78.7589460042489
Madagascar,MDG,2001,78.7919835602609
Madagascar,MDG,2002,81.2862829211426
Madagascar,MDG,2003,81.6713086493095
Madagascar,MDG,2004,81.9119363751648
Madagascar,MDG,2005,81.9640948597015
Madagascar,MDG,2006,80.1992025359633
Madagascar,MDG,2007,78.1777352405567
Madagascar,MDG,2008,75.9910957797784
Madagascar,MDG,2009,75.112421199953
Madagascar,MDG,2010,73.3057432146573
Madagascar,MDG,2011,71.2563932392505
Madagascar,MDG,2012,68.8728799566627
Madagascar,MDG,2013,71.2150986086793
Madagascar,MDG,2014,73.0918326371816
Madagascar,MDG,2015,74.6442748738112
Madagascar,MDG,2016,73.8172225208227
Madagascar,MDG,2017,72.8504587478575
Madagascar,MDG,2018,72.0046330175778
Madagascar,MDG,2019,70.880430904178
Madagascar,MDG,2020,71.4401687596838
Madagascar,MDG,2021,71.0617201574972
Madagascar,MDG,2022,70.06644883383
Madagascar,MDG,2023,69.8915361196731
Madagascar,MDG,2024,69.5182428982195
Madagascar,MDG,2025,69.2089003209287
Monde,WLD,1991,42.82302759445806
Monde,WLD,1992,42.599184284343615
Monde,WLD,1993,41.89926383862276
Monde,WLD,1994,41.3363329391844
Monde,WLD,1995,40.569775277986444
Monde,WLD,1996,39.871044602662494
Monde,WLD,1997,39.42096995453326
Monde,WLD,1998,39.46410232889291
Monde,WLD,1999,39.501551936055506
Monde,WLD,2000,39.34833474023581
Monde,WLD,2001,38.99940553175214
Monde,WLD,2002,38.746844829057636
Monde,WLD,2003,38.24634751532917
Monde,WLD,2004,37.18011009202702
Monde,WLD,2005,36.26599973201611
Monde,WLD,2006,35.2134687875657
Monde,WLD,2007,34.31193839962354
Monde,WLD,2008,33.72667672157069
Monde,WLD,2009,33.22418293940929
Monde,WLD,2010,32.562162770991286
Monde,WLD,2011,31.69306947157715
Monde,WLD,2012,30.87769859522981
Monde,WLD,2013,30.086085481457005
Monde,WLD,2014,29.21586171341342
Monde,WLD,2015,28.53800078108877
Monde,WLD,2016,28.01312540314023
Monde,WLD,2017,27.450583993515735
Monde,WLD,2018,26.8098586446531
Monde,WLD,2019,26.280731227916842
Monde,WLD,2020,27.19175579166504
Monde,WLD,2021,26.86540704175145
Monde,WLD,2022,26.90863760835529
Monde,WLD,2023,26.55730783367038
Monde,WLD,2024,26.073733288264695
Monde,WLD,2025,25.78081488032497
Mozambique,MOZ,1991,84.2784473149921
Mozambique,MOZ,1992,84.5313457793218
Mozambique,MOZ,1993,84.1658493725147
Mozambique,MOZ,1994,84.1268272027305
Mozambique,MOZ,1995,84.2141043886974
Mozambique,MOZ,1996,83.9279609269741
